cytoband	2q31.2	9p21.3	2p11.1	1p35.2	1q31.1	20q11.1	10q11.21	14q32.33	16p12.3	19q13.2	18q21.2	1q21.1	17p11.2	16p11.2	Yq11.221	17p13.1	17q24.2	Xp22.33	6p25.1	7q36.3	22q11.22	4q35.2	6q25.3	19q13.42	7q34	12q21.31	22q13.33	16q11.2	15q14	6q11.1	12p13.33	1q44	2p23.1	9q21.31	
																																MIR6726			
																																MIR6727			
																																MIR6728			
																																MIR6731			
																																MIR6732			
																																MIR6733			
																																MIR6735			
																																MIR6737			
																																MIR6738			
																																MIR6740			
																																MIR6742			
																																MIR6878			
																																MIR7641-2			
																																MIR7846			
																																MIR7852			
																																MIR7856			
																																MIR6859-2			
																																MIR6859-3			
																																MIR6736			
																																MIR6769B			
																																MIR6077			
																																MIR6741			
																																MIR6127			
																																MIR6500			
																																MIR6730			
																																MIR6734			
																																MIR6739			
																																MIR6808			
																																MIR6859-1			
																																MIR8083			
																																MIR6729			
																																MIR7156			
																																LOC102606465			
																																LOC102723661			
																																LOC102723727			
																																LOC102723833			
																																LOC102723886			
																																LINC01389			
																																TTC39A-AS1			
																																LOC102724312			
																																LOC102724450			
																																LOC102724539			
																																LOC102724552			
																																CH17-408M7.1			
																																LOC102724571			
																																LOC102724601			
																																LOC102724659			
																																LOC102724661			
																																LOC102724919			
																																LINC01032			
																																LINC01222			
																																LOC103021295			
																																LOC103021296			
																																LOC103091866			
																																TGFB2-OT1			
																																RNU6-2			
																																LINC01461			
																																SPATA17-AS1			
																																PACERR			
																																LINC01036			
																																LINC01221			
																																LINC01397			
																																TXNDC12-AS1			
																																LINC01307			
																																LINC01525			
																																DISC1-IT1			
																																WARS2-IT1			
																																LOC105371433			
																																LOC105371458			
																																LOC105372897			
																																LOC105376736			
																																LOC105376805			
																																LOC105378591			
																																LOC105378614			
																																LOC105378663			
																																LOC105378683			
																																LOC105378732			
																																LOC105378828			
																																LOC105378853			
																																LOC105378933			
																																LOC105748977			
																																LINC01037			
																																MIR34AHG			
																																SNORD128			
																																SCARNA26A			
																																SCARNA26B			
																																SNORA100			
																																SNORA103			
																																SNORA110			
																																POP3			
																																SCARNA18B			
